state,date,sentiment,total,row,col,pval
PA,29.5,-0.00892622950819672,1891,4,11,0.5703
PA,31.0,0.0021962370649106252,1063,4,11,0.3563
UT,1.5,-0.05938133848133849,777,5,4,0.0009567
UT,3.5,-0.01632111176818451,1691,5,4,0.2284
UT,5.5,-0.06743056234718828,409,5,4,0.03769
UT,7.5,-0.09008555555555557,360,5,4,0.007235
UT,9.5,-0.05024949494949495,297,5,4,0.007657
UT,11.5,0.021030026109660573,383,5,4,0.2969
UT,13.5,0.013636426116838483,291,5,4,0.8195
UT,15.5,0.0662403162055336,253,5,4,0.05384
UT,17.5,0.05442500000000001,284,5,4,0.418
UT,19.5,0.08278022388059703,268,5,4,0.08
UT,21.5,0.03991619047619047,210,5,4,0.2575
UT,23.5,0.037976340694006315,317,5,4,0.2565
UT,25.5,0.07351003039513677,329,5,4,0.0218
UT,27.5,0.04261155015197568,329,5,4,0.07076
UT,29.5,0.02485394321766561,317,5,4,0.4747
UT,31.0,0.004686046511627905,172,5,4,0.6523
SC,1.5,-0.09276521739130435,1012,7,10,6.194e-05
SC,3.5,-0.06375732984293193,2292,7,10,4.095e-07
SC,5.5,-0.026658939096267188,509,7,10,0.1803
SC,7.5,-0.02624308176100629,636,7,10,0.441
SC,9.5,-0.030714152410575426,643,7,10,0.02119
SC,11.5,-0.014368073394495414,545,7,10,0.1411
SC,13.5,-0.034817965367965366,462,7,10,0.06694
SC,15.5,0.02922358208955224,335,7,10,0.4363
SC,17.5,0.018338983050847454,354,7,10,0.6298
SC,19.5,-0.0023290167865707362,417,7,10,0.885
SC,21.5,0.04379017543859651,285,7,10,0.1003
SC,23.5,0.0655436754176611,419,7,10,0.02038
SC,25.5,0.04539019189765459,469,7,10,0.03563
SC,27.5,0.02688630136986301,438,7,10,0.6191
SC,29.5,-0.009644779582366592,431,7,10,0.9959
SC,31.0,0.0471173144876325,283,7,10,0.3519
CT,1.5,-0.06180631793478262,1472,3,12,4.447e-05
CT,3.5,-0.03445737197523917,3554,3,12,4.73e-05
CT,5.5,-0.06038710407239819,884,3,12,0.003672
CT,7.5,-0.062018220338983056,708,3,12,0.03257
CT,9.5,-0.07108856304985336,682,3,12,0.0001451
CT,11.5,-0.008504665629860029,643,3,12,0.2281
CT,13.5,0.03825316973415132,489,3,12,0.09953
CT,15.5,0.04428336755646817,487,3,12,0.1831
CT,17.5,0.046793711967545636,493,3,12,0.07228
CT,19.5,0.05270015948963317,627,3,12,0.05495
CT,21.5,0.022971512770137526,509,3,12,0.7958
CT,23.5,0.06741458003169573,631,3,12,0.02193
CT,25.5,0.08443997134670488,698,3,12,0.002981
CT,27.5,0.06726796267496113,643,3,12,0.001594
CT,29.5,0.035831464174454826,642,3,12,0.853
CT,31.0,0.08115226666666667,375,3,12,0.0145
WI,1.5,-0.07102983521248918,1153,3,8,2.982e-05
WI,3.5,-0.058684839319470695,2645,3,8,2.608e-08
